V744A,V744B,V744C,V744D,V744E,education_femme,age_femme,exposition_medias,nb_enfants,quintile_richesse,femme_travaille,education_conjoint,alcool_conjoint,milieu_rural,television,radio,violence_physique
0,0,1,1,0,1,43.64175530773512,0,6,3,0,1,0,0,0,2,1
1,0,0,0,0,0,46.41091104365235,0,6,1,1,0,0,0,1,1,1
0,0,0,0,0,1,36.74496376018527,0,8,3,1,0,0,1,1,1,0
0,1,0,0,0,2,35.62544709784278,1,0,4,1,1,0,1,1,2,1
0,1,1,0,0,2,33.25939985300659,1,5,1,1,1,0,0,0,0,1
0,0,0,0,0,0,29.950913863652268,1,1,1,1,1,0,0,1,1,0
0,0,0,0,0,1,28.83232169639899,0,5,2,0,1,0,1,1,0,0
1,0,0,0,0,2,31.529024469456935,1,5,4,1,2,0,0,0,1,1
0,0,0,0,0,1,49.86671903145563,1,2,4,1,2,0,0,0,2,0
0,0,0,1,1,2,23.210746500814523,0,3,1,1,1,0,0,0,1,1
0,0,0,0,0,1,34.80286578111671,1,2,3,1,2,0,0,0,1,0
1,1,0,1,0,1,39.51514546694282,1,1,2,1,2,0,0,0,1,1
1,1,0,0,0,1,30.255304675516086,1,1,2,1,0,0,1,1,1,1
0,0,0,0,0,0,36.76956605254668,0,2,3,0,2,0,0,0,0,0
0,0,1,0,0,2,18.907203142044004,0,2,4,1,1,0,0,2,2,1
0,0,0,0,0,1,45.22290126073117,0,1,1,1,1,0,1,2,0,0
0,0,0,0,0,2,43.41968301640214,1,5,1,1,2,0,1,1,2,0
0,0,1,0,0,1,31.98463913582506,1,1,3,0,1,0,0,1,1,1
0,0,0,0,0,2,24.71752645266286,0,7,2,1,0,0,1,1,2,0
0,1,0,0,1,2,40.27395277255824,1,3,1,0,0,0,0,0,0,1
0,0,0,0,0,2,22.222488963390813,0,6,1,1,2,0,1,2,1,0
0,0,0,0,0,0,23.556996187040706,0,4,5,1,1,0,0,1,0,0
0,0,0,0,0,2,32.401431733061244,1,4,2,1,1,0,0,0,0,0
0,0,0,0,1,1,47.01778657298854,0,4,2,1,0,0,1,1,2,1
0,0,0,0,0,1,38.85741126019846,0,3,1,0,1,0,1,1,2,0
0,1,0,0,0,2,26.882944919099643,0,2,4,1,2,0,0,0,1,1
0,0,0,1,0,3,17.256489143905824,0,1,5,0,0,0,1,1,0,1
0,0,0,0,0,0,33.28613984677587,1,0,5,1,1,0,0,0,2,0
0,0,0,0,0,2,35.238222608884854,1,2,2,1,1,0,1,1,1,0
0,0,1,0,0,1,32.223145241224124,1,1,5,0,1,0,0,1,2,1
0,1,0,0,0,1,49.699442626154585,0,7,2,0,2,0,0,2,1,1
0,0,0,0,0,2,31.673079926641453,1,2,2,0,1,0,0,2,1,0
0,1,0,0,0,2,11.676280520165342,0,3,4,1,1,0,1,0,0,1
1,0,0,0,0,0,29.113602108959586,0,3,4,0,1,0,0,2,0,1
1,0,0,0,0,2,37.12819458049109,0,8,3,0,2,0,0,0,2,1
0,0,0,0,0,2,36.498144971393344,0,4,2,0,1,0,1,1,0,0
0,0,0,0,1,2,31.256891938014213,0,3,5,1,1,0,0,1,2,1
0,0,0,0,0,1,29.717370869522753,0,4,2,1,0,0,1,2,1,0
0,1,0,0,0,1,14.303507171376417,1,4,5,1,0,0,0,0,2,1
0,0,0,0,0,2,33.697668032860264,0,4,4,1,1,0,1,1,1,0
0,0,0,0,0,2,29.750808182465647,0,3,1,0,0,0,1,1,1,0
0,0,0,1,0,2,35.21802390300417,0,5,1,1,1,0,0,1,1,1
0,0,0,0,0,2,37.4689902483887,0,2,1,1,2,0,0,2,1,0
1,0,0,0,0,0,44.44193586001516,0,4,1,1,1,0,1,0,0,1
0,0,0,0,0,2,24.013244557781025,1,2,3,0,0,0,1,2,1,0
0,0,0,0,0,1,20.86596596300385,0,4,1,1,1,0,1,1,0,0
0,0,1,0,0,0,27.562109400543072,1,5,1,0,1,0,1,2,2,1
0,0,0,0,0,1,26.05898282097634,0,1,1,0,2,0,1,1,1,0
0,0,0,0,0,2,25.223690955138615,0,2,3,0,1,0,0,2,0,0
0,0,0,0,0,1,46.337629900074745,1,3,1,0,2,0,1,1,2,0
1,0,1,1,0,1,34.280267605306136,1,2,2,1,0,0,1,2,0,1
0,1,0,0,0,1,51.24325920244116,0,5,2,1,2,1,1,2,1,1
1,0,0,1,0,0,32.87144506586971,0,5,2,1,1,0,1,1,0,1
1,0,0,0,0,1,22.001549023686557,1,3,5,0,2,0,1,2,0,1
0,0,0,0,0,2,25.38397636696074,1,7,5,1,1,0,0,0,2,0
1,0,0,0,0,0,42.42743472750881,1,0,1,1,1,0,0,0,0,1
0,1,0,0,0,0,22.35517884626713,1,7,1,0,2,0,0,1,1,1
0,0,0,0,0,2,38.08825279165407,1,3,1,1,2,0,0,1,2,0
0,1,1,0,1,2,29.582201478880254,1,3,2,1,1,0,1,2,1,1
0,1,0,1,0,2,24.25262217421772,1,1,5,1,2,0,1,0,0,1
0,0,0,0,0,1,45.794633508978485,1,3,4,0,2,0,0,1,0,0
0,0,1,0,0,2,27.426335862223812,1,5,2,1,1,0,1,0,1,1
0,0,0,0,0,1,25.20358947121658,1,4,4,1,2,0,1,0,2,0
0,0,0,0,0,2,32.166294360158744,0,2,5,1,1,0,1,0,2,0
0,0,0,1,0,0,28.173389456570654,0,4,1,1,2,0,0,0,1,1
0,0,0,0,0,1,53.49936887557878,1,4,5,1,1,0,0,2,0,0
0,0,0,0,0,2,42.76132282839289,0,3,4,1,2,0,0,2,2,0
0,0,0,0,0,1,27.406560471166983,0,4,1,0,1,0,0,1,1,0
0,0,1,0,0,0,28.479364865296585,0,2,4,0,2,0,1,0,2,1
1,1,0,0,0,2,14.11913104187003,1,8,1,0,0,0,0,2,2,1
0,0,0,0,0,2,34.17785395515043,1,2,1,0,2,0,0,0,0,0
0,1,0,0,0,2,25.952348110669092,0,1,4,1,2,0,0,0,2,1
0,0,0,0,0,2,33.71850585408738,0,6,5,1,1,0,0,2,2,0
0,0,0,0,0,2,14.613650917390654,1,6,2,1,1,0,1,0,1,0
0,0,0,0,0,1,32.65116607530284,0,3,1,1,1,0,1,1,0,0
0,0,0,0,0,2,48.6976431479715,0,6,3,1,1,0,1,2,1,0
0,0,0,0,0,2,33.403512799460636,1,3,1,1,0,0,0,2,2,0
0,0,0,1,0,2,25.695455660429968,1,2,3,0,2,0,1,2,2,1
0,1,0,0,0,1,32.70965945833862,1,2,2,0,2,0,1,0,2,1
0,0,0,0,0,2,32.302486753469395,1,4,3,0,2,0,0,2,2,0
1,0,0,1,0,0,53.28404820903351,0,2,2,1,1,0,0,1,2,1
0,1,0,0,0,2,29.804570058247613,0,3,1,1,1,0,1,1,2,1
0,0,0,0,1,1,21.709372280027427,0,1,4,1,1,0,1,1,1,1
0,0,1,0,0,2,33.09956102031517,1,2,3,0,2,0,1,1,0,1
0,0,0,0,0,1,34.71845911190548,0,3,2,0,0,0,1,2,2,0
0,1,1,0,0,2,38.12935248709365,1,6,3,1,0,0,1,1,0,1
0,0,0,0,0,0,39.92858520715189,0,4,2,0,0,0,0,2,1,0
0,0,1,0,0,1,51.0863925952411,1,5,2,0,0,0,0,2,1,1
1,0,0,0,0,2,27.36032757444539,1,3,2,1,1,0,1,2,1,1
0,1,0,1,0,1,26.51508737914288,0,3,1,1,2,1,0,2,1,1
0,0,0,0,0,0,15.65653076246177,0,6,2,1,2,0,0,0,1,0
0,1,0,1,0,1,39.053380030456225,0,6,4,1,1,0,0,2,1,1
0,0,0,0,0,3,24.64797640141596,0,6,5,1,1,0,0,1,1,0
0,1,0,0,0,0,41.193407803205965,1,4,1,1,1,0,1,2,1,1
0,0,0,0,0,0,28.327795303651634,0,4,5,0,1,0,1,1,0,0
0,0,0,1,1,2,48.951409137371414,0,6,2,1,0,0,1,1,1,1
0,1,1,0,0,1,19.568385932485363,1,1,2,1,2,0,1,0,2,1
0,0,0,0,0,1,42.413207181180056,1,2,1,1,0,0,0,1,1,0
0,0,0,0,0,2,41.30573583415892,1,4,3,1,2,0,1,0,2,0
0,0,0,0,0,1,37.79716087771724,1,3,3,1,2,0,0,1,1,0
0,0,0,0,0,2,22.50944759941588,0,4,4,1,2,0,1,2,0,0
0,0,0,1,0,2,37.83970262886955,0,5,3,1,0,0,1,0,0,1
0,0,0,1,0,2,34.07993508940936,0,2,5,1,1,0,0,2,2,1
0,0,0,0,0,3,15.87861724316221,0,5,4,1,0,0,1,2,1,0
1,0,1,0,1,1,47.39193880453236,0,3,5,0,2,0,1,2,1,1
0,0,0,1,0,2,29.68581383197198,0,2,3,1,1,0,1,0,2,1
0,0,0,1,0,2,46.675324573026785,0,4,2,1,2,0,1,0,0,1
0,0,0,0,0,1,32.27074851405155,0,2,3,1,0,0,1,1,1,0
0,0,0,0,0,1,42.035632388678266,0,2,2,0,1,0,1,0,2,0
0,0,0,0,1,3,24.90641646081538,1,1,2,1,1,0,0,1,1,1
0,1,0,0,1,1,34.8942450752549,1,0,2,1,1,0,0,2,2,1
0,0,0,0,0,0,34.238660536087394,0,1,4,0,2,0,0,0,0,0
1,1,0,0,0,2,29.890510445248513,0,6,4,0,1,0,1,0,1,1
0,1,0,0,0,2,24.816227830593597,1,2,3,1,1,0,0,1,1,1
0,1,1,0,0,1,4.378753203193273,0,3,3,1,1,0,1,2,2,1
1,0,0,0,0,0,25.034437501009656,1,8,2,1,1,0,0,0,1,1
0,1,0,0,0,1,39.41473475625432,0,4,2,1,2,0,0,2,2,1
0,1,0,0,0,2,19.924365195321478,0,2,1,1,2,0,0,1,0,1
1,0,0,1,0,2,21.85035714959384,1,1,3,1,2,0,0,2,2,1
