violence_physique,viol_phys_mod,viol_phys_sev,age_femme,education_femme,sit_matrimoniale,enceinte,lecture_journal,ecoute_radio,regarde_tv,score_media,age_conjoint,ecart_age,education_conjoint,conjoint_alcool,region,milieu
1,1.0,0.0,31,Secondaire,Mariee,Oui,Jamais,Jamais,Jamais,0.0,47.0,16.0,Aucun,Oui,Littoral,Urbain
0,0.0,0.0,20,Primaire,Mariee,Oui,Jamais,Jamais,Jamais,0.0,30.0,10.0,Aucun,Non,Littoral,Urbain
0,0.0,0.0,26,Primaire,Mariee,Oui,Au_moins_1x_sem,Au_moins_1x_sem,Moins_1x_sem,1.6666666666666667,35.0,9.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,37,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,51.0,14.0,Superieur,Non,Littoral,Urbain
0,0.0,0.0,15,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,20.0,5.0,Secondaire,Non,Littoral,Urbain
1,1.0,0.0,36,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,45.0,9.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,18,Primaire,Mariee,Non,Jamais,Moins_1x_sem,Jamais,0.3333333333333333,27.0,9.0,Superieur,Non,Littoral,Urbain
0,0.0,0.0,41,Primaire,Mariee,Oui,Jamais,Jamais,Jamais,0.0,47.0,6.0,Secondaire,Non,Littoral,Urbain
0,0.0,0.0,40,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,60.0,20.0,Aucun,Non,Littoral,Urbain
1,1.0,0.0,32,Primaire,Divorcee,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Non,Littoral,Urbain
0,0.0,0.0,16,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,25.0,9.0,Primaire,Non,Littoral,Urbain
1,1.0,0.0,26,Aucun,Mariee,Non,Jamais,Jamais,Jamais,0.0,37.0,11.0,Superieur,Oui,Littoral,Urbain
1,1.0,0.0,27,Primaire,Mariee,Non,Moins_1x_sem,Jamais,Jamais,0.3333333333333333,28.0,1.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,33,Primaire,Union_libre,Non,Moins_1x_sem,Jamais,Moins_1x_sem,0.6666666666666666,34.0,1.0,Superieur,Oui,Extreme_Nord,Rural
1,1.0,0.0,22,Primaire,Separee,Oui,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Oui,Extreme_Nord,Rural
0,0.0,0.0,18,Secondaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,37.0,19.0,Superieur,Oui,Extreme_Nord,Rural
1,1.0,1.0,35,Primaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,32.0,-3.0,Superieur,Oui,Extreme_Nord,Rural
1,1.0,1.0,23,Secondaire,Union_libre,Non,Moins_1x_sem,Jamais,Moins_1x_sem,0.6666666666666666,34.0,11.0,Superieur,Oui,Extreme_Nord,Rural
1,1.0,0.0,28,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,38.0,10.0,Superieur,Oui,Extreme_Nord,Rural
0,0.0,0.0,35,Primaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,43.0,8.0,Secondaire,Oui,Extreme_Nord,Rural
0,0.0,0.0,23,Secondaire,Union_libre,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,30.0,7.0,Superieur,Non,Extreme_Nord,Rural
1,1.0,1.0,26,Primaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,34.0,8.0,Primaire,Oui,Extreme_Nord,Rural
0,0.0,0.0,49,Primaire,Veuve,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Oui,Centre,Urbain
1,1.0,1.0,38,Primaire,Union_libre,Non,Jamais,Moins_1x_sem,Jamais,0.3333333333333333,47.0,9.0,Secondaire,Oui,Centre,Urbain
1,1.0,0.0,29,Secondaire,Union_libre,Oui,Moins_1x_sem,Moins_1x_sem,Moins_1x_sem,1.0,45.0,16.0,Superieur,Oui,Centre,Urbain
1,1.0,1.0,49,Secondaire,Veuve,Non,Jamais,Jamais,Jamais,0.0,38.0,8.0,Superieur,Oui,Centre,Urbain
1,1.0,0.0,27,Primaire,Union_libre,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,36.0,9.0,Secondaire,Oui,Centre,Urbain
1,1.0,0.0,25,Primaire,Mariee,Non,Jamais,Au_moins_1x_sem,Au_moins_1x_sem,1.3333333333333333,32.0,7.0,Secondaire,Oui,Centre,Urbain
1,1.0,1.0,20,Secondaire,Union_libre,Non,Jamais,Jamais,Au_moins_1x_sem,0.6666666666666666,42.0,22.0,Superieur,Oui,Centre,Urbain
1,1.0,1.0,31,Primaire,Union_libre,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,35.0,4.0,Secondaire,Non,Centre,Urbain
1,1.0,0.0,22,Secondaire,Union_libre,Non,Jamais,Jamais,Jamais,0.0,27.0,5.0,Secondaire,Oui,Centre,Urbain
0,0.0,0.0,21,Primaire,Mariee,Oui,Jamais,Jamais,Jamais,0.0,23.0,2.0,Primaire,Oui,Centre,Urbain
1,1.0,0.0,25,Primaire,Union_libre,Non,Jamais,Moins_1x_sem,Moins_1x_sem,0.6666666666666666,33.0,8.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,41,Superieur,Mariee,Non,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,48.0,7.0,Superieur,Oui,Littoral,Urbain
1,1.0,0.0,30,Superieur,Union_libre,Oui,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,34.0,4.0,Superieur,Non,Littoral,Urbain
1,1.0,1.0,31,Superieur,Separee,Non,Au_moins_1x_sem,Au_moins_1x_sem,Au_moins_1x_sem,2.0,38.0,8.0,Superieur,Oui,Littoral,Urbain
1,1.0,0.0,38,Primaire,Union_libre,Non,Jamais,Moins_1x_sem,Au_moins_1x_sem,1.0,40.0,2.0,Superieur,Oui,Littoral,Urbain
0,0.0,0.0,47,Primaire,Mariee,Non,Jamais,Jamais,Jamais,0.0,50.0,3.0,Primaire,Oui,Adamaoua,Rural
0,0.0,0.0,27,Primaire,Mariee,Non,Jamais,Au_moins_1x_sem,Jamais,0.6666666666666666,36.0,9.0,Aucun,Non,Adamaoua,Rural
